b.gid	w.gid
Zm00001d002419	Zm00004b006399
Zm00001d002420	Zm00004b006400
Zm00001d002421	Zm00004b006401
Zm00001d002422	Zm00004b006402
Zm00001d002423	Zm00004b006403
Zm00001d002424	Zm00004b006404
Zm00001d002426	Zm00004b006408
Zm00001d002428	Zm00004b006409
Zm00001d002429	Zm00004b006412
Zm00001d002432	Zm00004b006413
Zm00001d002433	Zm00004b006414
Zm00001d002434	Zm00004b006415
Zm00001d002435	Zm00004b006416
Zm00001d002436	Zm00004b006417
Zm00001d002439	Zm00004b006418
Zm00001d002440	Zm00004b006419
Zm00001d002441	Zm00004b006420
Zm00001d002444	Zm00004b006421
Zm00001d002446	Zm00004b006422
Zm00001d002447	Zm00004b006424
Zm00001d002449	Zm00004b006425
Zm00001d002450	Zm00004b006426
Zm00001d002451	Zm00004b006427
Zm00001d002452	Zm00004b006430
Zm00001d002454	Zm00004b006431
Zm00001d002455	Zm00004b006432
Zm00001d002456	Zm00004b006433
Zm00001d002457	Zm00004b006434
Zm00001d002458	Zm00004b006436
Zm00001d002461	Zm00004b006437
Zm00001d002462	Zm00004b006438
Zm00001d002468	Zm00004b006440
Zm00001d002470	Zm00004b006442
Zm00001d002473	Zm00004b006446
Zm00001d002475	Zm00004b006447
Zm00001d002476	Zm00004b006448
Zm00001d002477	Zm00004b006449
Zm00001d002478	Zm00004b006450
Zm00001d002479	Zm00004b006451
Zm00001d002482	Zm00004b006452
Zm00001d002483	Zm00004b006453
Zm00001d002488	Zm00004b006461
Zm00001d002489	Zm00004b006462
Zm00001d002490	Zm00004b006463
Zm00001d002491	Zm00004b006465
Zm00001d002494	Zm00004b006466
Zm00001d002495	Zm00004b006468
Zm00001d002496	Zm00004b006469
Zm00001d002498	Zm00004b006470
Zm00001d002499	Zm00004b006471
Zm00001d002500	Zm00004b006472
Zm00001d002501	Zm00004b006476
Zm00001d002503	Zm00004b006477
Zm00001d002504	Zm00004b006478
Zm00001d002505	Zm00004b006479
Zm00001d002511	Zm00004b006483
Zm00001d002515	Zm00004b006488
Zm00001d002517	Zm00004b006489
Zm00001d002519	Zm00004b006490
Zm00001d002520	Zm00004b006491
Zm00001d002521	Zm00004b006492
Zm00001d002523	Zm00004b006494
Zm00001d002524	Zm00004b006496
Zm00001d002530	Zm00004b006498
Zm00001d002531	Zm00004b006499
Zm00001d002532	Zm00004b006500
Zm00001d002534	Zm00004b006502
Zm00001d002535	Zm00004b006503
Zm00001d002536	Zm00004b006504
Zm00001d002537	Zm00004b006505
Zm00001d002538	Zm00004b006506
Zm00001d002539	Zm00004b006507
Zm00001d002540	Zm00004b006508
Zm00001d002541	Zm00004b006509
Zm00001d002542	Zm00004b006510
Zm00001d002543	Zm00004b006511
Zm00001d002544	Zm00004b006512
Zm00001d002545	Zm00004b006514
Zm00001d002546	Zm00004b006515
Zm00001d002547	Zm00004b006516
Zm00001d002548	Zm00004b006517
Zm00001d002549	Zm00004b006518
Zm00001d002550	Zm00004b006519
Zm00001d002553	Zm00004b006520
Zm00001d002556	Zm00004b006522
Zm00001d002557	Zm00004b006523
Zm00001d002558	Zm00004b006524
Zm00001d002562	Zm00004b006526
Zm00001d002564	Zm00004b006528
Zm00001d002565	Zm00004b006530
Zm00001d002568	Zm00004b006531
Zm00001d002569	Zm00004b006532
Zm00001d002570	Zm00004b006533
Zm00001d002573	Zm00004b006535
Zm00001d002576	Zm00004b006538
Zm00001d002579	Zm00004b006539
Zm00001d002580	Zm00004b006540
Zm00001d002589	Zm00004b006547
Zm00001d002590	Zm00004b006548
Zm00001d002591	Zm00004b006550
Zm00001d002592	Zm00004b006551
Zm00001d002593	Zm00004b006553
Zm00001d002594	Zm00004b006554
Zm00001d002595	Zm00004b006555
Zm00001d002596	Zm00004b006556
Zm00001d002597	Zm00004b006557
Zm00001d002598	Zm00004b006558
Zm00001d002599	Zm00004b006559
Zm00001d002601	Zm00004b006560
Zm00001d002602	Zm00004b006561
Zm00001d002603	Zm00004b006562
Zm00001d002607	Zm00004b006565
Zm00001d002609	Zm00004b006566
Zm00001d002610	Zm00004b006567
Zm00001d002611	Zm00004b006568
Zm00001d002613	Zm00004b006570
Zm00001d002614	Zm00004b006571
Zm00001d002615	Zm00004b006572
Zm00001d002616	Zm00004b006573
Zm00001d002617	Zm00004b006574
Zm00001d002618	Zm00004b006575
Zm00001d002620	Zm00004b006576
Zm00001d002621	Zm00004b006577
Zm00001d002623	Zm00004b006578
Zm00001d002624	Zm00004b006581
Zm00001d002625	Zm00004b006582
Zm00001d002626	Zm00004b006583
Zm00001d002629	Zm00004b006584
Zm00001d002630	Zm00004b006585
Zm00001d002631	Zm00004b006587
Zm00001d002632	Zm00004b006588
Zm00001d002638	Zm00004b006594
Zm00001d002639	Zm00004b006595
Zm00001d002640	Zm00004b006596
Zm00001d002641	Zm00004b006597
Zm00001d002642	Zm00004b006599
Zm00001d002644	Zm00004b006600
Zm00001d002649	Zm00004b006601
Zm00001d002650	Zm00004b006602
Zm00001d002654	Zm00004b006605
Zm00001d002656	Zm00004b006606
Zm00001d002658	Zm00004b006607
Zm00001d002659	Zm00004b006608
Zm00001d002661	Zm00004b006610
Zm00001d002662	Zm00004b006613
Zm00001d002663	Zm00004b006614
Zm00001d002665	Zm00004b006615
Zm00001d002666	Zm00004b006616
Zm00001d002668	Zm00004b006617
Zm00001d002669	Zm00004b006618
Zm00001d002671	Zm00004b006619
Zm00001d002673	Zm00004b006620
Zm00001d002675	Zm00004b006621
Zm00001d002676	Zm00004b006622
Zm00001d002677	Zm00004b006623
Zm00001d002678	Zm00004b006625
Zm00001d002679	Zm00004b006626
Zm00001d002680	Zm00004b006627
Zm00001d002684	Zm00004b006630
Zm00001d002685	Zm00004b006631
Zm00001d002687	Zm00004b006633
Zm00001d002688	Zm00004b006635
Zm00001d002690	Zm00004b006636
Zm00001d002693	Zm00004b006637
Zm00001d002694	Zm00004b006638
Zm00001d002695	Zm00004b006640
Zm00001d002696	Zm00004b006641
Zm00001d002699	Zm00004b006644
Zm00001d002700	Zm00004b006645
Zm00001d002703	Zm00004b006650
Zm00001d002704	Zm00004b006651
Zm00001d002707	Zm00004b006653
Zm00001d002708	Zm00004b006654
Zm00001d002711	Zm00004b006655
Zm00001d002712	Zm00004b006656
Zm00001d002713	Zm00004b006657
Zm00001d002714	Zm00004b006658
Zm00001d002715	Zm00004b006659
Zm00001d002716	Zm00004b006660
Zm00001d002718	Zm00004b006662
Zm00001d002720	Zm00004b006663
Zm00001d002721	Zm00004b006664
Zm00001d002723	Zm00004b006665
Zm00001d002725	Zm00004b006668
Zm00001d002726	Zm00004b006670
Zm00001d002727	Zm00004b006671
Zm00001d002729	Zm00004b006672
Zm00001d002730	Zm00004b006673
Zm00001d002731	Zm00004b006674
Zm00001d002732	Zm00004b006675
Zm00001d002733	Zm00004b006676
Zm00001d002734	Zm00004b006677
Zm00001d002736	Zm00004b006678
Zm00001d002737	Zm00004b006679
Zm00001d002738	Zm00004b006680
Zm00001d002739	Zm00004b006681
Zm00001d002741	Zm00004b006682
Zm00001d002742	Zm00004b006683
Zm00001d002743	Zm00004b006684
Zm00001d002744	Zm00004b006685
Zm00001d002747	Zm00004b006689
Zm00001d002750	Zm00004b006693
Zm00001d002751	Zm00004b006694
Zm00001d002754	Zm00004b006696
Zm00001d002755	Zm00004b006697
Zm00001d002756	Zm00004b006698
Zm00001d002757	Zm00004b006699
Zm00001d002758	Zm00004b006700
Zm00001d002759	Zm00004b006701
Zm00001d002761	Zm00004b006704
Zm00001d002762	Zm00004b006705
Zm00001d002768	Zm00004b006708
Zm00001d002770	Zm00004b006711
Zm00001d002771	Zm00004b006712
Zm00001d002772	Zm00004b006713
Zm00001d002773	Zm00004b006714
Zm00001d002774	Zm00004b006715
Zm00001d002775	Zm00004b006716
Zm00001d002776	Zm00004b006717
Zm00001d002777	Zm00004b006718
Zm00001d002778	Zm00004b006719
Zm00001d002781	Zm00004b006722
Zm00001d002782	Zm00004b006723
Zm00001d002783	Zm00004b006724
Zm00001d002784	Zm00004b006725
Zm00001d002786	Zm00004b006726
Zm00001d002789	Zm00004b006728
Zm00001d002790	Zm00004b006729
Zm00001d002791	Zm00004b006730
Zm00001d002794	Zm00004b006731
Zm00001d002796	Zm00004b006732
Zm00001d002797	Zm00004b006733
Zm00001d002798	Zm00004b006734
Zm00001d002799	Zm00004b006735
Zm00001d002801	Zm00004b006736
Zm00001d002802	Zm00004b006738
Zm00001d002806	Zm00004b006740
Zm00001d002810	Zm00004b006741
Zm00001d002811	Zm00004b006742
Zm00001d002812	Zm00004b006743
Zm00001d002815	Zm00004b006745
Zm00001d002816	Zm00004b006746
Zm00001d002817	Zm00004b006748
Zm00001d002819	Zm00004b006749
Zm00001d002820	Zm00004b006750
Zm00001d002821	Zm00004b006752
Zm00001d002822	Zm00004b006753
Zm00001d002823	Zm00004b006754
Zm00001d002824	Zm00004b006755
