gid	tid	ttype	chrom	start	end	srd	size.rna	size.exon	size.cds	note1	note2
Zm00004b000049	Zm00004b000049_T001	mRNA	chr01	2364196	2377128	-	12933	6519	6279		
Zm00004b000050	Zm00004b000050_T001	mRNA	chr01	2456073	2462536	-	6464	2233	1815		
Zm00004b000051	Zm00004b000051_T001	mRNA	chr01	2506854	2510799	-	3946	1477	1008		
Zm00004b000052	Zm00004b000052_T001	mRNA	chr01	2512301	2515371	-	3071	492	477		
Zm00004b000053	Zm00004b000053_T001	mRNA	chr01	2519478	2524328	+	4851	2644	2280		
Zm00004b000054	Zm00004b000054_T001	mRNA	chr01	2612595	2614574	-	1980	1897	1431		
Zm00004b000055	Zm00004b000055_T001	mRNA	chr01	2724710	2732810	+	8101	5232	3837		
Zm00004b000056	Zm00004b000056_T001	mRNA	chr01	2748387	2750663	-	2277	1658	1497		
Zm00004b000057	Zm00004b000057_T001	mRNA	chr01	2766054	2772732	-	6679	1848	1122		
Zm00004b000058	Zm00004b000058_T001	mRNA	chr01	2804785	2807435	+	2651	2063	1311		
Zm00004b000059	Zm00004b000059_T001	mRNA	chr01	2821161	2830761	+	9601	495	495		
Zm00004b000060	Zm00004b000060_T001	mRNA	chr01	2834804	2843196	-	8393	999	999		
Zm00004b000061	Zm00004b000061_T001	mRNA	chr01	2849696	2852954	+	3259	2281	2172		
Zm00004b000062	Zm00004b000062_T001	mRNA	chr01	2865523	2865900	-	378	378	378		
Zm00004b000063	Zm00004b000063_T001	mRNA	chr01	2866908	2872104	+	5197	3813	3342		
Zm00004b000064	Zm00004b000064_T001	mRNA	chr01	2881665	2883026	-	1362	1276	906		
Zm00004b000065	Zm00004b000065_T001	mRNA	chr01	2891073	2893293	+	2221	1246	687		
Zm00004b000066	Zm00004b000066_T001	mRNA	chr01	2894316	2895755	-	1440	881	438		
Zm00004b000067	Zm00004b000067_T001	mRNA	chr01	2930189	2939725	+	9537	4306	2523		
Zm00004b000068	Zm00004b000068_T001	mRNA	chr01	2937959	2940439	-	2481	1151	693		
Zm00004b000069	Zm00004b000069_T001	mRNA	chr01	2982161	2990440	+	8280	998	780		
Zm00004b000070	Zm00004b000070_T001	mRNA	chr01	2991050	2995961	-	4912	2303	1311		
Zm00004b000071	Zm00004b000071_T001	mRNA	chr01	2996312	3003838	-	7527	2824	1308		
Zm00004b000072	Zm00004b000072_T001	mRNA	chr01	2999922	3010892	+	10971	4834	3024		
Zm00004b000073	Zm00004b000073_T001	mRNA	chr01	3026846	3027352	+	507	507	507		
Zm00004b000074	Zm00004b000074_T001	mRNA	chr01	3032018	3039970	+	7953	2465	1809		
Zm00004b000075	Zm00004b000075_T001	mRNA	chr01	3043041	3045539	+	2499	855	555		
Zm00004b000076	Zm00004b000076_T001	mRNA	chr01	3044617	3055075	-	10459	2697	1332		
Zm00004b000077	Zm00004b000077_T001	mRNA	chr01	3104793	3109738	+	4946	2424	1830		
Zm00004b000078	Zm00004b000078_T001	mRNA	chr01	3156110	3166843	+	10734	2304	2304		
Zm00004b000079	Zm00004b000079_T001	mRNA	chr01	3171260	3173079	+	1820	1292	546		
Zm00004b000080	Zm00004b000080_T001	mRNA	chr01	3196075	3196371	-	297	297	297		
Zm00004b000081	Zm00004b000081_T001	mRNA	chr01	3205155	3223897	+	18743	4074	3141		
Zm00004b000082	Zm00004b000082_T001	mRNA	chr01	3225564	3236839	+	11276	8372	7851		
Zm00004b000083	Zm00004b000083_T001	mRNA	chr01	3344491	3350691	-	6201	2723	2094		
Zm00004b000084	Zm00004b000084_T001	mRNA	chr01	3396342	3396812	-	471	471	471		
Zm00004b000085	Zm00004b000085_T001	mRNA	chr01	3413535	3419850	+	6316	3785	3330		
Zm00004b000086	Zm00004b000086_T001	mRNA	chr01	3420310	3421014	+	705	705	705		
Zm00004b000087	Zm00004b000087_T001	mRNA	chr01	3421504	3423038	-	1535	959	513		
Zm00004b000088	Zm00004b000088_T001	mRNA	chr01	3464362	3480379	+	16018	3059	2280		
Zm00004b000089	Zm00004b000089_T001	mRNA	chr01	3481558	3483129	-	1572	1572	1572		
Zm00004b000090	Zm00004b000090_T001	mRNA	chr01	3484695	3486669	-	1975	965	345		
Zm00004b000091	Zm00004b000091_T001	mRNA	chr01	3566920	3568536	+	1617	1617	1617		
Zm00004b000092	Zm00004b000092_T001	mRNA	chr01	3569527	3572482	+	2956	1557	1338		
Zm00004b000093	Zm00004b000093_T001	mRNA	chr01	3575890	3576489	-	600	600	600		
Zm00004b000094	Zm00004b000094_T001	mRNA	chr01	3577897	3578589	+	693	693	693		
Zm00004b000095	Zm00004b000095_T001	mRNA	chr01	3578911	3590797	-	11887	3838	3261		
Zm00004b000096	Zm00004b000096_T001	mRNA	chr01	3654314	3655822	+	1509	1509	1509		
Zm00004b000097	Zm00004b000097_T001	mRNA	chr01	3656396	3659095	-	2700	2522	1458		
Zm00004b000098	Zm00004b000098_T001	mRNA	chr01	3733002	3737731	+	4730	3418	2250		
Zm00004b000099	Zm00004b000099_T001	mRNA	chr01	3740301	3747342	+	7042	2937	681		
Zm00004b000100	Zm00004b000100_T001	mRNA	chr01	3747132	3749426	-	2295	1724	1086		
Zm00004b000101	Zm00004b000101_T001	mRNA	chr01	3815948	3821046	+	5099	2079	1539		
Zm00004b000102	Zm00004b000102_T001	mRNA	chr01	3841532	3843790	+	2259	1762	969		
Zm00004b000103	Zm00004b000103_T001	mRNA	chr01	3851240	3851440	+	201	201	201		
Zm00004b000104	Zm00004b000104_T001	mRNA	chr01	3896581	3896847	+	267	267	267		
Zm00004b000105	Zm00004b000105_T001	mRNA	chr01	3920519	3930979	-	10461	2052	1458		
Zm00004b000106	Zm00004b000106_T001	mRNA	chr01	3999808	4002851	+	3044	1708	897		
Zm00004b000107	Zm00004b000107_T001	mRNA	chr01	4016040	4017047	+	1008	861	861		
Zm00004b000108	Zm00004b000108_T001	mRNA	chr01	4017103	4019106	+	2004	666	408		
Zm00004b000109	Zm00004b000109_T001	mRNA	chr01	4019249	4023070	-	3822	1718	825		
Zm00004b000110	Zm00004b000110_T001	mRNA	chr01	4039294	4040883	+	1590	1590	1590		
Zm00004b000111	Zm00004b000111_T001	mRNA	chr01	4044690	4047024	-	2335	1584	714		
Zm00004b000112	Zm00004b000112_T001	mRNA	chr01	4071148	4074267	+	3120	1904	1179		
Zm00004b000113	Zm00004b000113_T001	mRNA	chr01	4075518	4076270	+	753	753	753		
Zm00004b000114	Zm00004b000114_T001	mRNA	chr01	4101400	4105579	+	4180	1386	1029		
Zm00004b000115	Zm00004b000115_T001	mRNA	chr01	4105844	4106458	+	615	615	615		
Zm00004b000116	Zm00004b000116_T001	mRNA	chr01	4108767	4113912	+	5146	1605	1605		
Zm00004b000117	Zm00004b000117_T001	mRNA	chr01	4156372	4160594	+	4223	2129	1608		
Zm00004b000118	Zm00004b000118_T001	mRNA	chr01	4181684	4181950	+	267	267	267		
Zm00004b000119	Zm00004b000119_T001	mRNA	chr01	4210007	4213715	+	3709	1568	885		
Zm00004b000120	Zm00004b000120_T001	mRNA	chr01	4215394	4217167	-	1774	1120	819		
Zm00004b000121	Zm00004b000121_T001	mRNA	chr01	4220393	4220731	+	339	339	339		
Zm00004b000122	Zm00004b000122_T001	mRNA	chr01	4223325	4226196	-	2872	1817	1167		
Zm00004b000123	Zm00004b000123_T001	mRNA	chr01	4227671	4230717	+	3047	2814	2814		
Zm00004b000124	Zm00004b000124_T001	mRNA	chr01	4234768	4252199	-	17432	1611	993		
Zm00004b000125	Zm00004b000125_T001	mRNA	chr01	4262291	4269316	+	7026	2181	2181		
Zm00004b000126	Zm00004b000126_T001	mRNA	chr01	4270377	4274373	+	3997	864	864		
Zm00004b000127	Zm00004b000127_T001	mRNA	chr01	4278331	4282751	+	4421	1441	1017		
Zm00004b000128	Zm00004b000128_T001	mRNA	chr01	4284182	4286812	+	2631	1812	1374		
Zm00004b000129	Zm00004b000129_T001	mRNA	chr01	4287884	4290596	-	2713	1155	750		
Zm00004b000130	Zm00004b000130_T001	mRNA	chr01	4291604	4296207	-	4604	3099	2493		
Zm00004b000131	Zm00004b000131_T001	mRNA	chr01	4302337	4304583	-	2247	2247	2247		
Zm00004b000132	Zm00004b000132_T001	mRNA	chr01	4310893	4318294	-	7402	1314	399		
Zm00004b000133	Zm00004b000133_T001	mRNA	chr01	4323573	4323773	+	201	201	201		
Zm00004b000134	Zm00004b000134_T001	mRNA	chr01	4349878	4419753	+	69876	6434	5682		
Zm00004b000135	Zm00004b000135_T001	mRNA	chr01	4441781	4443073	+	1293	1293	1293		
Zm00004b000136	Zm00004b000136_T001	mRNA	chr01	4471200	4471946	+	747	722	312		
Zm00004b000137	Zm00004b000137_T001	mRNA	chr01	4476380	4482933	+	6554	3459	2100		
Zm00004b000138	Zm00004b000138_T001	mRNA	chr01	4498935	4499405	+	471	471	471		
Zm00004b000139	Zm00004b000139_T001	mRNA	chr01	4533486	4535702	+	2217	903	420		
Zm00004b000140	Zm00004b000140_T001	mRNA	chr01	4536159	4537869	-	1711	1063	729		
Zm00004b000141	Zm00004b000141_T001	mRNA	chr01	4560300	4568112	-	7813	3644	1023		
Zm00004b000142	Zm00004b000142_T001	mRNA	chr01	4560598	4563975	+	3378	2158	324		
Zm00004b000143	Zm00004b000143_T001	mRNA	chr01	4607669	4611981	-	4313	1809	1377		
Zm00004b000144	Zm00004b000144_T001	mRNA	chr01	4632224	4633089	-	866	649	435		
Zm00004b000145	Zm00004b000145_T001	mRNA	chr01	4634332	4636029	-	1698	1281	585		
Zm00004b000146	Zm00004b000146_T001	mRNA	chr01	4703462	4703728	+	267	267	267		
Zm00004b000147	Zm00004b000147_T001	mRNA	chr01	4720559	4721521	+	963	963	963		
Zm00004b000148	Zm00004b000148_T001	mRNA	chr01	4758561	4761918	-	3358	1840	993		
Zm00004b000149	Zm00004b000149_T001	mRNA	chr01	4762728	4776046	-	13319	8175	5796		
Zm00004b000150	Zm00004b000150_T001	mRNA	chr01	4783621	4784370	+	750	750	750		
Zm00004b000151	Zm00004b000151_T001	mRNA	chr01	4878288	4883358	+	5071	1843	1446		
Zm00004b000152	Zm00004b000152_T001	mRNA	chr01	4898973	4899281	-	309	309	309		
Zm00004b000153	Zm00004b000153_T001	mRNA	chr01	4937967	4942763	+	4797	1635	1083		
Zm00004b000154	Zm00004b000154_T001	mRNA	chr01	4992333	5000812	+	8480	1476	1476		
Zm00004b000155	Zm00004b000155_T001	mRNA	chr01	5002044	5004770	-	2727	1654	1482		
Zm00004b000156	Zm00004b000156_T001	mRNA	chr01	5062334	5066614	+	4281	1842	978		
Zm00004b000157	Zm00004b000157_T001	mRNA	chr01	5080703	5087318	-	6616	1049	654		
Zm00004b000158	Zm00004b000158_T001	mRNA	chr01	5103844	5104182	-	339	339	339		
Zm00004b000159	Zm00004b000159_T001	mRNA	chr01	5202042	5207858	-	5817	1916	1110		
Zm00004b000160	Zm00004b000160_T001	mRNA	chr01	5270076	5272267	+	2192	1435	759		
Zm00004b000161	Zm00004b000161_T001	mRNA	chr01	5299521	5316246	-	16726	1626	687		
Zm00004b000162	Zm00004b000162_T001	mRNA	chr01	5370570	5370836	-	267	267	267		
Zm00004b000163	Zm00004b000163_T001	mRNA	chr01	5442560	5445673	+	3114	1378	483		
Zm00004b000164	Zm00004b000164_T001	mRNA	chr01	5449832	5452269	-	2438	2352	2001		
Zm00004b000165	Zm00004b000165_T001	mRNA	chr01	5453257	5455400	+	2144	1561	834		
Zm00004b000166	Zm00004b000166_T001	mRNA	chr01	5457722	5463365	+	5644	3182	1581		
Zm00004b000167	Zm00004b000167_T001	mRNA	chr01	5478595	5479904	-	1310	1079	453		
Zm00004b000168	Zm00004b000168_T001	mRNA	chr01	5490077	5495886	+	5810	1978	933		
Zm00004b000169	Zm00004b000169_T001	mRNA	chr01	5536779	5539214	+	2436	1637	981		
Zm00004b000170	Zm00004b000170_T001	mRNA	chr01	5556346	5562267	+	5922	3614	1872		
Zm00004b000171	Zm00004b000171_T001	mRNA	chr01	5611967	5614531	+	2565	2406	2406		
Zm00004b000172	Zm00004b000172_T001	mRNA	chr01	5615995	5616372	-	378	378	378		
Zm00004b000173	Zm00004b000173_T001	mRNA	chr01	5696087	5697511	+	1425	1425	1425		
Zm00004b000174	Zm00004b000174_T001	mRNA	chr01	5716018	5720223	+	4206	2554	1392		
Zm00004b000175	Zm00004b000175_T001	mRNA	chr01	5719030	5720737	-	1708	1420	852		
Zm00004b000176	Zm00004b000176_T001	mRNA	chr01	5724259	5724459	+	201	201	201		
Zm00004b000177	Zm00004b000177_T001	mRNA	chr01	5782854	5786071	-	3218	1403	900		
Zm00004b000178	Zm00004b000178_T001	mRNA	chr01	5791198	5800682	+	9485	2273	1146		
Zm00004b000179	Zm00004b000179_T001	mRNA	chr01	5803745	5810575	+	6831	3280	939		
Zm00004b000180	Zm00004b000180_T001	mRNA	chr01	5861985	5866316	+	4332	2526	1875		
Zm00004b000181	Zm00004b000181_T001	mRNA	chr01	5867112	5871943	-	4832	931	696		
Zm00004b000182	Zm00004b000182_T001	mRNA	chr01	5890481	5894737	+	4257	1935	1536		
Zm00004b000183	Zm00004b000183_T001	mRNA	chr01	5896676	5898668	+	1993	1550	1017		
Zm00004b000184	Zm00004b000184_T001	mRNA	chr01	5903049	5906897	-	3849	1884	1686		
Zm00004b000185	Zm00004b000185_T001	mRNA	chr01	5908291	5912294	-	4004	1784	1035		
Zm00004b000186	Zm00004b000186_T001	mRNA	chr01	5928562	5929566	+	1005	1005	774		
Zm00004b000187	Zm00004b000187_T001	mRNA	chr01	5942183	5944159	+	1977	1977	1977		
Zm00004b000188	Zm00004b000188_T001	mRNA	chr01	5986851	5989159	+	2309	2096	705		
Zm00004b000189	Zm00004b000189_T001	mRNA	chr01	6002786	6008614	-	5829	2231	1338		
Zm00004b000190	Zm00004b000190_T001	mRNA	chr01	6046977	6048804	-	1828	1370	456		
Zm00004b000191	Zm00004b000191_T001	mRNA	chr01	6054086	6054373	-	288	288	288		
Zm00004b000192	Zm00004b000192_T001	mRNA	chr01	6057912	6060394	-	2483	805	345		
Zm00004b000193	Zm00004b000193_T001	mRNA	chr01	6061995	6064608	-	2614	1140	1140		
Zm00004b000194	Zm00004b000194_T001	mRNA	chr01	6175994	6188386	+	12393	1572	1572		
Zm00004b000195	Zm00004b000195_T001	mRNA	chr01	6194376	6196914	+	2539	1549	1266		
Zm00004b000196	Zm00004b000196_T001	mRNA	chr01	6196957	6207020	-	10064	3053	2565		
Zm00004b000197	Zm00004b000197_T001	mRNA	chr01	6265634	6268435	+	2802	2709	2709		
Zm00004b000198	Zm00004b000198_T001	mRNA	chr01	6268947	6270388	+	1442	1045	708		
Zm00004b000199	Zm00004b000199_T001	mRNA	chr01	6275710	6289025	-	13316	2829	1641		
Zm00004b000200	Zm00004b000200_T001	mRNA	chr01	6291159	6296136	+	4978	976	636		
Zm00004b000201	Zm00004b000201_T001	mRNA	chr01	6328203	6333955	+	5753	1894	1428		
Zm00004b000202	Zm00004b000202_T001	mRNA	chr01	6412666	6414063	+	1398	495	372		
Zm00004b000203	Zm00004b000203_T001	mRNA	chr01	6418991	6423543	-	4553	807	807		
Zm00004b000204	Zm00004b000204_T001	mRNA	chr01	6425474	6426652	+	1179	1179	1179		
Zm00004b000205	Zm00004b000205_T001	mRNA	chr01	6459032	6479642	-	20611	3261	2928		
Zm00004b000206	Zm00004b000206_T001	mRNA	chr01	6500014	6527638	-	27625	1126	1053		
Zm00004b000207	Zm00004b000207_T001	mRNA	chr01	6536348	6538461	-	2114	876	876		
Zm00004b000208	Zm00004b000208_T001	mRNA	chr01	6546698	6554085	-	7388	1485	930		
Zm00004b000209	Zm00004b000209_T001	mRNA	chr01	6599472	6600597	+	1126	998	906		
Zm00004b000210	Zm00004b000210_T001	mRNA	chr01	6629811	6630855	-	1045	957	462		
Zm00004b000211	Zm00004b000211_T001	mRNA	chr01	6636038	6641631	-	5594	707	471		
Zm00004b000212	Zm00004b000212_T001	mRNA	chr01	6641683	6646299	-	4617	1783	1155		
Zm00004b000213	Zm00004b000213_T001	mRNA	chr01	6678375	6687452	+	9078	2655	1368		
Zm00004b000214	Zm00004b000214_T001	mRNA	chr01	6687716	6689547	-	1832	1313	1146		
Zm00004b000215	Zm00004b000215_T001	mRNA	chr01	6695302	6695868	-	567	567	567		
Zm00004b000216	Zm00004b000216_T001	mRNA	chr01	6697393	6702260	-	4868	2387	2001		
Zm00004b000217	Zm00004b000217_T001	mRNA	chr01	6704952	6707688	+	2737	1116	717		
Zm00004b000218	Zm00004b000218_T001	mRNA	chr01	6707204	6711109	-	3906	2543	1692		
Zm00004b000219	Zm00004b000219_T001	mRNA	chr01	6761965	6781208	-	19244	4032	3039		
Zm00004b000220	Zm00004b000220_T001	mRNA	chr01	6788410	6791298	+	2889	2312	1425		
Zm00004b000221	Zm00004b000221_T001	mRNA	chr01	6845495	6847371	-	1877	1351	1146		
Zm00004b000222	Zm00004b000222_T001	mRNA	chr01	6860371	6864803	-	4433	2234	1890		
Zm00004b000223	Zm00004b000223_T001	mRNA	chr01	6951981	6957569	-	5589	1917	1458		
Zm00004b000224	Zm00004b000224_T001	mRNA	chr01	6969976	6970302	-	327	327	327		
Zm00004b000225	Zm00004b000225_T001	mRNA	chr01	6979057	6988111	+	9055	1617	1617		
Zm00004b000226	Zm00004b000226_T001	mRNA	chr01	6995094	6996319	-	1226	1065	873		
Zm00004b000227	Zm00004b000227_T001	mRNA	chr01	7062318	7064051	+	1734	1734	1734		
Zm00004b000228	Zm00004b000228_T001	mRNA	chr01	7091846	7093244	+	1399	1281	240		
Zm00004b000229	Zm00004b000229_T001	mRNA	chr01	7115826	7116819	-	994	630	366		
Zm00004b000230	Zm00004b000230_T001	mRNA	chr01	7127979	7131837	+	3859	1951	951		
Zm00004b000231	Zm00004b000231_T001	mRNA	chr01	7132154	7145384	-	13231	3706	3042		
Zm00004b000232	Zm00004b000232_T001	mRNA	chr01	7145078	7152533	+	7456	678	678		
Zm00004b000233	Zm00004b000233_T001	mRNA	chr01	7232206	7237247	-	5042	3537	2772		
Zm00004b000234	Zm00004b000234_T001	mRNA	chr01	7239541	7243216	-	3676	1220	738		
Zm00004b000235	Zm00004b000235_T001	mRNA	chr01	7281234	7281500	+	267	267	267		
Zm00004b000236	Zm00004b000236_T001	mRNA	chr01	7344917	7351249	+	6333	3062	1899		
Zm00004b000237	Zm00004b000237_T001	mRNA	chr01	7354304	7355344	+	1041	1041	1041		
Zm00004b000238	Zm00004b000238_T001	mRNA	chr01	7364511	7374774	-	10264	1464	1464		
Zm00004b000239	Zm00004b000239_T001	mRNA	chr01	7384630	7389005	+	4376	2488	1134		
Zm00004b000240	Zm00004b000240_T001	mRNA	chr01	7393150	7395021	+	1872	1086	1086		
Zm00004b000241	Zm00004b000241_T001	mRNA	chr01	7397457	7400580	-	3124	2282	1872		
Zm00004b000242	Zm00004b000242_T001	mRNA	chr01	7469340	7471903	-	2564	2108	1482		
Zm00004b000243	Zm00004b000243_T001	mRNA	chr01	7473217	7477656	-	4440	1371	738		
Zm00004b000244	Zm00004b000244_T001	mRNA	chr01	7494265	7500096	-	5832	2402	1611		
Zm00004b000245	Zm00004b000245_T001	mRNA	chr01	7525778	7527655	-	1878	524	234		
Zm00004b000246	Zm00004b000246_T001	mRNA	chr01	7562897	7580588	+	17692	2181	1560		
Zm00004b000247	Zm00004b000247_T001	mRNA	chr01	7607227	7611356	+	4130	1029	738		
Zm00004b000248	Zm00004b000248_T001	mRNA	chr01	7612815	7616672	-	3858	1626	1626		
Zm00004b000249	Zm00004b000249_T001	mRNA	chr01	7616557	7619476	+	2920	1676	1134		
Zm00004b000250	Zm00004b000250_T001	mRNA	chr01	7639521	7640669	-	1149	1149	1149		
Zm00004b000251	Zm00004b000251_T001	mRNA	chr01	7671075	7677474	+	6400	2716	1656		
Zm00004b000252	Zm00004b000252_T001	mRNA	chr01	7682263	7685292	+	3030	2670	825		
Zm00004b000253	Zm00004b000253_T001	mRNA	chr01	7699503	7700567	+	1065	1065	1065		
Zm00004b000254	Zm00004b000254_T001	mRNA	chr01	7706415	7711083	+	4669	1824	1350		
Zm00004b000255	Zm00004b000255_T001	mRNA	chr01	7712979	7714448	+	1470	1169	786		
Zm00004b000256	Zm00004b000256_T001	mRNA	chr01	7716277	7717672	+	1396	1173	780		
Zm00004b000257	Zm00004b000257_T001	mRNA	chr01	7802113	7807436	-	5324	1680	1185		
Zm00004b000258	Zm00004b000258_T001	mRNA	chr01	7823683	7825465	-	1783	1265	951		
Zm00004b000259	Zm00004b000259_T001	mRNA	chr01	7841715	7847533	+	5819	1645	612		
Zm00004b000260	Zm00004b000260_T001	mRNA	chr01	7879441	7885755	+	6315	2149	1287		
Zm00004b000261	Zm00004b000261_T001	mRNA	chr01	7885926	7889117	+	3192	2172	1185		
Zm00004b000262	Zm00004b000262_T001	mRNA	chr01	7888490	7890549	-	2060	1928	1680		
Zm00004b000263	Zm00004b000263_T001	mRNA	chr01	7919459	7923947	-	4489	2170	1935		
Zm00004b000264	Zm00004b000264_T001	mRNA	chr01	8007700	8022747	-	15048	2520	1041		
Zm00004b000265	Zm00004b000265_T001	mRNA	chr01	8035514	8038048	-	2535	2098	1641		
Zm00004b000266	Zm00004b000266_T001	mRNA	chr01	8086854	8088254	+	1401	1401	1401		
Zm00004b000267	Zm00004b000267_T001	mRNA	chr01	8151136	8152623	-	1488	1384	990		
Zm00004b000268	Zm00004b000268_T001	mRNA	chr01	8185180	8186774	-	1595	1293	825		
Zm00004b000269	Zm00004b000269_T001	mRNA	chr01	8188470	8189708	-	1239	1050	681		
Zm00004b000270	Zm00004b000270_T001	mRNA	chr01	8191665	8193028	-	1364	1069	720		
Zm00004b000271	Zm00004b000271_T001	mRNA	chr01	8286547	8298848	-	12302	2041	1296		
Zm00004b000272	Zm00004b000272_T001	mRNA	chr01	8325297	8327544	-	2248	1884	1161		
Zm00004b000273	Zm00004b000273_T001	mRNA	chr01	8360083	8362012	-	1930	846	477		
Zm00004b000274	Zm00004b000274_T001	mRNA	chr01	8366157	8367824	-	1668	543	543		
Zm00004b000275	Zm00004b000275_T001	mRNA	chr01	8421676	8422791	+	1116	1116	1116		
Zm00004b000276	Zm00004b000276_T001	mRNA	chr01	8452225	8453856	-	1632	1632	1632		
Zm00004b000277	Zm00004b000277_T001	mRNA	chr01	8453940	8454876	+	937	615	615		
Zm00004b000278	Zm00004b000278_T001	mRNA	chr01	8467775	8476291	-	8517	1014	885		
Zm00004b000279	Zm00004b000279_T001	mRNA	chr01	8485484	8489900	-	4417	1612	567		
Zm00004b000280	Zm00004b000280_T001	mRNA	chr01	8492102	8492569	+	468	468	468		
Zm00004b000281	Zm00004b000281_T001	mRNA	chr01	8493140	8495533	-	2394	2394	2394		
Zm00004b000282	Zm00004b000282_T001	mRNA	chr01	8539232	8542343	-	3112	1618	894		
Zm00004b000283	Zm00004b000283_T001	mRNA	chr01	8593155	8593781	-	627	498	498		
Zm00004b000284	Zm00004b000284_T001	mRNA	chr01	8621021	8622240	-	1220	1154	699		
